korean,english
표시하다,"To make a sign, display"
행하다,"To do, act, behave"
활짝,"extensively,widely"
감상하다,To show appreciation
개별,An individual or a particular case
공식적,Formal or procedural
그런대로,Such as it is or anyways
기독교,Christianity
깨달음,Realization
끼다,To smoke
넘어지다,"Fall down, collapse"
눈부시다,To be dazzling
단점,A weak point
마음먹다,Be determined to
목록,Catalogue
반복하다,To repeat
반성하다,Examine oneself
별명,"nickname,alias"
보전,"ingegrity,preservation"
불어오다,Call to come
소유하다,"To possess,hold"
수박,Watermelon
스위치,Switch
신세,"indebtedness,obligation"
알아내다,To find out (e.g. the answer)
암,Cancer
야단,"A clamro, uproar 2) a scolding"
얘,Yes.
엔,Yen (japanese)
연결,"Connection, linking"
연관,"a connection, a grouping together, relationships"
용서하다,"To pardon, to forgive"
우정,Feeling of friendship
육군,The army
음식점,Restaurant
의논하다,"To consult,confer with, talk over a matter"
인분,How many people counter for at restaurants
주요하다,"To be chief,principal,leading"
죽,Rice porridge
차마,For all the world
참조,"reference,comparison"
첫째,The first
타고나다,"Be born, gifted/endowed with"
태우다,"To take in a car, give a ride to"
행사,"Use, exercise"
향수,A perfume
허용되다,"To be permitted, approved"
가입,Entrance
가정,Supposition
과자,A snack or pastries or candy
교체,Shift or change or alternate
김,"Seaweed, laver"
꼬마,A dwarf
끝없이,Boundlessly
나르다,"to move a long or semi-long distance (not just within a room); Carry, convey, transport"
놀리다,"Banter, tease"
늘어놓다,"(1) Scatter about haphazardly ; (2) 으로 늘어놓다 to arrange, place in order"
닫히다,"To shut, be closed"
대표하다,Represent
대학교,University
도로,"Back, same as ever, same as it was before"
막걸리,A slightly bitter soju drink
맡다,Smell
미스,Miss
밀리다,"to be left undone, to be late in making a payment (to fall into arrears) (2) to be pushed, shoved"
밥그릇,A rice bown
방문,A door of a room
병들다,Get sick
부러지다,"Break, get broken"
불꽃,"flame,blaze,spark"
상대성,Relativity
설문,questions like those on a questionnaire
소설가,Novelist
쓸다,"brush, sweep perhaps lightly"
안녕히,Peacefully
안팎,"The interior and exterior, both sides"
예방하다,"To protect, prevent, fend off"
올,"Coming (year, week)"
유의하다,"To bear in mind, be heedful of"
유학,Confucianism
이해되다,To be understood
인하,"reduction,lowering"
작성,"editing,composition ; filling out a form"
잘리다,"Be snapped,broken,cut off"
전달,Delivery
전시회,"An exhibition, show, display"
전화하다,To call
전환하다,"To exchange, to convert, to change over"
정치학,Political science
좌석,A seat
주문,"An order, a request"
집안일,Housework
체계적,"Systematic, organizational"
출근,Going to work
크림,Cream
탁월하다,"Be excellent, prominished"
텅,Hollow
토하다,To vomit
푹,"Completely, entirely"
한순간,One fleeting moment
가사,Words or lyrics
가입자,Member or subscriber
감소하다,To reduce or diminish
개구리,Frog
결과적,Resultative
괴롭히다,Afflict or worry
구별,A distinction or a separation
깨우다,To wake up or awaken
끈,A string or a cord
끊기다,To be cut off or severed
끊임없다,To not end
넉넉하다,To be enough
두어,"About two, a couple"
마약,A drug
밑바닥,"The bottom,base"
보도되다,To be reported
보리,Barley
본부,The headquarters
부,"wealth,riches"
성숙하다,"to ripen, to mature"
소극적,"Passivity,passiveness"
소용,"use,usefulness"
손질하다,Handle with care
수건,Handkerchief
순식간,A brief instant
시도,"An attempt,test"
시집,A collection of poems
아무개,Mr. so-and-so
약점,"A weak point, a vulnerable point"
양복,Western European style clothing
어째서,"For what reason, why is that"
얼다,"Freeze, be frozen"
여,"A woman, a girl"
연령,"Age, years of age"
예비,"Preparation, reserve"
울음소리,Sound of crying
이놈,That rascal!
이력서,"Curriculum vitae, a resume (for a job)"
인정되다,To be recognized
잠자다,Fall asleep
젓가락,A pair of chopsticks
주년,One whole year
중단하다,"To interrupt, to stop"
중대하다,"importance,gravity"
중심지,A central place
집중적,Related to the concentration
참되다,"To be true, honest, faithful"
초청,An invitation
출판사,A publishing company
탁자,"A table, desk"
토끼,A rabbit
퍽,"Very, very much"
풍속,"Manners, customs, morals"
피아노,Pian
핑계,Excuse
한층,"More, still more"
행운,"Good luck, good fortune"
가로막다,Interrupt or obstruct
간섭,Interfere or meddle
갈증,Thirst
갑작스럽다,All of a sudden
교환하다,To exchange
그래야,And so or and then
기원,Origin
길가,The roadside
난리,"A war, revolt"
남매,Brother and sister
내버리다,Throw away
미사일,Missile
발가락,A toe
보존,Preservation
보호되다,To be protected
뵙다,"see,meet"
부치다,"to send, to post"
상관,"Concern, relation"
설명되다,To be explained
섭섭하다,"Be sorry,disappointed"
세,"A generation,age,epoch"
세련되다,"To be polished,refined"
손쉽다,"Be easy, simple"
안주,Appetizers for alcohol
어린애,"A youngster, a child"
열기,"Heat, hot air"
옷차림,"Dress, one’s way of dressing"
위로하다,"To console, soothe somebody"
이같이,"Like this, like so"
인형,A doll
일치,"Agreement, accord"
재생,"revival,restoration to life"
전철,An electric railway
찢어지다,"To be torn, rent"
철학자,Philosopher
축하하다,To Congratulate sb
컬러,Color
통화,Conversation by telephone
특이하다,"Be peculiar, special, unique"
필연적,"Necessity, necessary"
하룻밤,"One night, a single night"
흘러내리다,"Run (stream,pour) down"
가짜,Fake
강도,Intensity or strength
곰,Bear
급히,Fast or quickly or in a hurry
기념,Commemoration
나아지다,"Become better, be improved"
넘어오다,"Fall, come down"
매너,Manner
민속,Folk-customs
버려지다,"Take away, throw away to somewhere"
빗물,Rainwater
사위,"environment,surroundings"
설날,New Year’s Day
설득하다,Persuasion
손질,"handling,care"
손톱,Fingernail
식빵,Bread
아르바이트,Part time
외로움,Loneliness
외우다,Recite from memory
운전자,The driver
유리창,A window which uses glass
입대,"Enlistment, enrollment"
적성,Aptitude
전망하다,"Have a view of, observe"
집단적,Collectively (of people)
차이점,A point of difference
찬물,Cold water
철도,Railroad
총각,"A bachelor, an unmarried man"
캠페인,Campaign
태풍,Typhoon
한눈,"A look, glampse, look"
햇볕,"Sunbeams, sunlight"
홍수,"A flood, inundation"
가뭄,A drought
간접,Indirectness
강력히,With great strengh or or might
개선되다,To be renovated or to get improved
건네다,Speak to a person or address
게,A crab
결심,Determination or resolution
곧장,Directly or straightforwardly ; to do something straight away
교직,The teaching profession
구속하다,To arrest or restrain
귀중하다,To be precious
긁다,Scratch or scrape
금지하다,To restrain or prohibit
기사,Technician
기숙사,A hostel or residence hall
나뭇잎,Tree leaves
내쉬다,Exhale
넓어지다,Get wider
늘어지다,Be lengthened
단독,Independence
마당,"An instance, case"
마음껏,As much as you want
몰려들다,Be driven into
미팅,Meeting
바,Bar
바퀴,Wheel
발자국,Footprint
뱉다,Spit
벌어지다,"Widen, get wider"
보너스,Bonus
산책,"A walk,stroll"
생기,"animation,life"
서적,"books,publications"
소화,Digestion
수험생,A student preparing for an examination
시끄럽다,"To be noisy,boisterous"
신세대,The new generation
안기다,"(1) To fix on a person, lay the blame on a person (2) to throw onto sb, to pass onto sb, to pawn off onto sb, to hand over to sb"
어기다,"Run counter to, go against"
어때,What do you think?
엘리베이터,Elevator
연구원,Researcher
연애,"Love, tender, passion"
연휴,Consecutive holidays
요약하다,"summary,condense,abridge"
운동하다,To do exercise
월요일,Monday
위성,A satellite
의외로,"unexpectedly,surprisingly"
이모,A maternal aunt
자살,Suicide
제시,Presentation
제외되다,To be excluded
조카,Nephew
주소,An address
찍히다,"Get sealed, stamped"
철,Steel
취직,"Employment, getting a job"
타락,"depravity,corruption,degradation"
통화,"Currency, the unit of circulation"
틀림없이,No mistaking it
파티,Party
회관,An assembly hall
계획하다,Plan or make a project
공연장,Auditorium
국적,Nationality or citizenship
근래,Of late or recently
나뉘다,Divide
낱말,A word
내외,"Men and woman, husband and wife"
냄비,A pot
늑대,Wolf
늘어서다,Stand in a row
다정하다,"To be affectionate, warm-hearted"
달다,to be sweet
달려들다,"Run, rush, jump at"
망원경,Telescope
모범,"model,example"
무리하다,Be impossible
묶이다,Be fastened together
방해하다,"Interrupt, interfere"
뱀,Snake
벌,Set (of clothes)
뵈다,Contraction of 보이다
상류,"The upper classes,upstream"
석,Three (in 3 months)
선명하다,"To be clear,distinct"
선호하다,To prefer
성공적,Successfully
소규모,Small scale
수시로,"On demand, per the demand of the occasion ; all the time, at any time"
시야,Visual field
실현되다,"To realize,bring to fruition"
아니야,"No, that’s not the case"
어느덧,Before one knows it
오르내리다,"Go up and down, rise and fall"
왕자,Prince
우수하다,"to be superior,excellent"
유명,"fame,celebrity status"
유형,A similar type
으레,"customarily,habitually"
일상적,"Daily, of the everyday things"
일일이,"One by one, individually"
전공하다,To major in something
전후,"sequence,order,front and rear"
정상,"normalcy,normality"
정상적,"normal,like usual"
질적,Qualitative
척,To appear or look as
철,Season (the 4)
청소하다,To clean
충격적,Shocking
치아,A tooth
편의,"Convenience, expediency"
폐지,"Abolition, to not use, to do away with"
해설,"Explanation, elucidation"
헌,"Old, shabby, worn-out"
흑백,Black and white
희생,A sacrifice
가까워지다,Get closer
감사하다,To thank
강도,A robber or burglar
경비,Expenses or outlay
경제력,Economic power
금하다,1) suppress or restraint 2) abstain from or restrain from
기대되다,To be expected
깊숙이,Deep or far
꿀,Honey or nectar
넘어뜨리다,Throw down
농사짓다,To do farming
단단하다,"Be hard, solid"
담당자,Person in charge
답변,An answer
대비,"Provision, preparation"
대체,"An outline, summary"
더욱더,More and more and more
도심,The heart of the city
마찰,"Rubbing, chafing"
마크,a company logo
만족,Satisfaction
망치다,Ruin
메뉴,Menu
모금,Money raising
묘사,Description
문화적,Cultural
묻히다,"Have smeared,be covered with"
미혼,Unmarried
발전되다,"Be advanced, prospering"
방송사,Broadcasting company
방지하다,"To prevent, check"
사표,A written resignation
삼가다,"Be discreet,take care of ; to abstain (refrain) o.s. from doing"
생방송,A live broadcast
셋째,The third
소홀히,"carelessly,indifferently,neglectfully"
손발,Hand and foot; the limbs
쌍둥이,Twins
안내하다,To lead the way
앉히다,To place a person in a set
영하,Below zero
옆구리,"The side, the flank"
외교관,A diplomat
외국어,"A foreign language; sometimes, only means English"
웬만하다,"To be just only barely passable, fairly good"
유행하다,"To be in fashion, to be popular"
으응,Ugh!
이어서,Subsequently
자장면,Black chinese noodles
자정,Midnight
종합하다,"synthesize,integrate"
중학생,Middle school student
짜다,"Squeeze, press out"
참,"At the point of, when"
채,House counter
최후,"The last, the end, the conclusion"
취재,"Selection, picking out of news articles (by a reporter)"
테러,Terror
토론회,A debating society/contest
한잔,A drink of liquor
호주머니,A pocket
휴일,"A day off of work, a holiday"
가난,Poor
가죽,The skin or hide or leather
관계없이,Without any relation
군,A county or district
기다,Crawl or creep
다툼,A quarrel
달력,A calendar
대,One piece
대낮,Broad daylight
데려가다,Take with
도자기,Porcelain
모조리,"One and all, wholly"
변경,"Change, alteration"
부지런히,Diligently
사슴,Deer
삼촌,"An uncle (usually on the father\’s side)(외삼촌 a brother of the wife, an uncle on the mother\’s side)"
상당수,plenty/a lot of
소풍,Picnic
속옷,Underwear
손목,The wrist
손실,Loss
슬쩍,"Secretly, on the sly, stealthily"
시나리오,Scenario
신문지,Newspaper paper
실컷,To one’s satisfaction
양보하다,"To make a concession, recede"
엔진,Engine
용,A dragon
운행,"movement,revolution"
이대로,As it is
인간성,Human nature
인상적,Impressive
자라나다,To grow up
전시,"exhibition,display"
조그마하다,"Be tiny,small"
주차장,Parking lot
주한,Residing in korea
중년,Middle-aged
지다,"To fade away, come off"
찌꺼기,"drugs,sediments,remnants (tea grounds)"
춤추다,To dance
테니스,Tennis
파리,A fly
포스터,Poster
포함,"inclusion,comprehension"
형식적,Related to the form
후회하다,To regret
가이드,Guide
가입하다,Join
감소,Decrease or dimunition
고르다,Flat or even
고속도로,Freeway or highway with no street lights
공책,Notebook for taking notes and studying
구분되다,To be put into sections
구입,Purchase or buying
기여,Contribution or service
기호,Taste or likes
꾸리다,Pack up or bundle up
낭비,Waste
내외,The interior and exterior
대략,"an outline, summary (2) generally, on the whole"
덮이다,Be covered
도리어,On the contrary
멋있다,"stylish,tasteful"
멸치,Anchovy
바람,"A wish, hope"
발목,Ankle
밤늦다,It is late at night
방울,A drop
배,Pear
벌,A bee
보관,"custody,deposit"
보살피다,Take care of
보완하다,"to supplement and make complete, to complement sth"
보존하다,"preserve,conserve"
빨다,"sip,suck"
빼놓다,"exclude,leave out"
사상,In history
사춘기,"adolescence,puberty"
상반기,"The first,upper half"
서점,A bookstore
선전,Propaganda
설립하다,"found,establish"
수집,Collection
수필,An essay
신기하다,"To be novel,original"
신비,Mystery
신설,A new theory
실감,Actual feeling
실망,Disappointment
쓰다듬다,Stroke one’s beard
알루미늄,Aluminum
알아주다,"acknowledge,recognize, appreciate"
양말,A sock
여우,Fox
와,Holy cow!
외출,"Going out, an outing"
용기,"A container, a vessel"
웨이터,Waiter
유발하다,"To induce, bring about, cause"
유지되다,"To be maintained, preserved"
자가용,For personal/family use
잡아당기다,Pull
점검,"inspection,examination"
정원,Garden
조기,"An early stage,period"
존경하다,Respect
종,A bell
종소리,The sound of a bell
중순,The second 10 days in a month
지각,"perception,consciousness"
직선,A straight line
참외,A melon
체하다,"pretend,feign"
체험하다,"To experience, to undergo"
초대하다,To invide
총,A gun
칭찬하다,To praise somebody
코치,Coach
통일하다,"To unify, consolidate"
패션,Fashion
프린터,Printer
피디,PD – a newspaper article
하나하나,Each individual piece
학위,Academic rank
회의,"Doubt, skepticism"
가로등,A street light
감,Feelings
개개인,Individuals or every person
걷다,1) Roll back /up one’s sleeves 2)fold or furl up 3) finish work
고집,Persistence or stubborness
금,Gold
급격히,Be rapid or sudden
기능,Ability or capacity or skill
기막히다,Be at a loss for words
나누어지다,To become divided
낙엽,Fallen dead leaves
넘겨주다,Hand over
논리적,Logical
다가서다,"Step up, go near to, come closer"
대기하다,Be ready for the opportunity
대접,Treatment
말다,"Roll up, convolve"
맞은편,The other side of THIS IS ONE WORD
멋,Smartness
면,Cotton
박,Staying the night
밤하늘,Night sky
변명,"Explanation, vindication"
보자기,A diver
부상,"A wound,injury"
분리하다,"To separate, break away from"
붙들다,"catch,seize,grasp"
사들이다,"buy,purchase"
상관없이,Without anything to do with
새우,"lobster,shrimp"
선원,"A crew, a ship’s company"
설사,Diarrhea
실망하다,To disappoint
심해지다,Become deep and serious
씨름,Wrestling
아쉬움,Sense of missing
앞길,"The road ahead, outlook"
약해지다,To become weak
어젯밤,Last night
엉망,"A mess, in bad shape"
여관,"A hotel, an inn"
여쭈다,"Tell a superior, inform"
연습하다," To practice,exercise"
연출하다,"Produce, present (a play)"
열중하다,"Enthusiasm, zeal"
영웅,"A hero, a great man"
오,"Oh, ah!"
유산,"An inheritence, property left behind"
의도적,Purposefully
이따금,From time to time
임신부,An expectant mother
장기적,Long-term
재주,"ability,talent"
전설,"A tradition, a legend"
절,"clause,paragraph"
젖,The breasts
조르다,"To tease, urge sb"
주문하다,"To order, to request"
주사,"A shot, an injection"
지겹다,"To be tedious,tiring"
짐작,"guess,conjecture"
쫓겨나다,Chase away ; to fire from your job
찢다,"Tear, rend, split"
채널,Channel
출근하다,To go to work
취소하다,"To cancel, calloff"
취업,"Employment, finding a job"
칠하다,"Paint, coat"
타오르다,"Blaze, light up"
탁,"(1) With a bang, with a snap (2) widely"
평,A criticism
평화롭다,To be peaceful
표시,"A sign,signal"
표시,"A sign, signal"
하반기,The second half of the year
한구석,"A corner, a nook"
한하다,"Limit, restrict"
해답,"A solution to a problem, an answer to a question"
해소하다,"To be dissolved, disorganized"
허락하다,"Consent, agree to"
확립하다,"establish,settle,fix"
확신하다,To be confident of
흥분,"excitement,excitation"
흥분하다,be/grow excited
힘겹다,To be not strong enough to do
감수성,Receptivity or susceptibility
거들다,Help or assist or lend
건너편,The opposite side
경치,A scene or scenery
급속히,Rapidly or swiftly
급증하다,Surge or sudden rapid increase
깔끔하다,Be sleek and smart
꼼꼼하다,"very careful or meticulous, doing it in a very detailed manner"
낮아지다,Become lower
단순,Simplicity
대사,an ambassador
두세,Two or three (months)
매,"whip,rod,cane"
먹고살다,Make one’s living
멎다,Stop
